date,key,workplace_closing,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,public_information_campaigns,testing_policy,contact_tracing,facial_coverings,pos_rate
2020-02-29,US_WA,0,0,0,0,0,0,0,0,1,1,1,0,7.142857142857143
2020-03-01,US_WA,0,0,0,0,0,0,0,0,1,1,1,0,10.666666666666666
2020-03-02,US_CA,0,0,0,0,0,3,0,0,1,1,1,0,1.7721518987341771
2020-03-02,US_IL,0,0,0,0,0,3,0,0,1,1,1,0,4.761904761904762
2020-03-02,US_OR,0,0,0,0,0,3,0,0,1,0,1,0,0.975609756097561
2020-03-02,US_WA,0,0,0,0,0,3,0,0,1,1,1,0,9.042553191489361
2020-03-03,US_FL,0,0,0,0,0,3,0,0,2,1,1,0,50
2020-03-03,US_GA,0,0,0,0,0,3,0,0,0,0,1,0,13.333333333333334
2020-03-03,US_NH,0,0,0,0,0,3,0,0,1,0,2,0,1.7857142857142858
2020-03-03,US_WA,0,0,0,0,0,3,0,0,1,1,1,0,7.079646017699115
2020-03-04,US_MA,0,0,0,1,0,3,0,0,1,1,1,0,9.090909090909092
2020-03-04,US_WA,1,0,0,1,0,3,0,0,1,1,1,0,13.54581673306773
2020-03-05,US_FL,0,0,0,0,0,3,0,0,2,1,1,0,5.2631578947368425
2020-03-05,US_NY,0,0,0,0,0,3,0,0,2,1,1,0,10
2020-03-05,US_RI,0,0,0,0,0,3,0,0,2,0,1,0,8.333333333333334
2020-03-05,US_WA,1,0,0,1,0,3,0,0,1,1,1,0,6.4171122994652405
2020-03-06,US_AL,0,0,0,0,0,3,0,0,0,2,1,0,11.428571428571429
2020-03-06,US_AZ,0,0,0,0,0,3,0,0,2,1,1,0,5.882352941176471
2020-03-06,US_FL,0,0,0,0,0,3,0,0,2,1,1,0,3.7037037037037037
2020-03-06,US_IN,0,0,0,0,0,3,0,0,1,1,1,0,50
2020-03-06,US_MA,0,0,0,1,0,3,0,0,1,1,1,0,12.244897959183673
2020-03-06,US_NV,0,0,0,0,0,3,0,0,2,0,1,0,12.5
2020-03-06,US_NY,0,0,0,0,0,3,0,0,2,1,1,0,23.91304347826087
2020-03-06,US_PA,0,0,0,0,0,3,0,0,2,1,1,0,50
2020-03-06,US_TX,0,0,0,0,0,3,0,0,0,1,1,0,20.833333333333332
2020-03-06,US_WA,1,0,0,1,0,3,0,0,1,1,1,0,7.436399217221135
2020-03-07,US_AZ,0,0,0,0,0,3,0,0,2,1,1,0,5.405405405405405
2020-03-07,US_FL,0,0,0,0,0,3,0,0,2,1,1,0,8.333333333333334
2020-03-07,US_KY,0,0,0,0,0,3,0,1,2,1,1,0,33.333333333333336
2020-03-07,US_MA,0,0,0,1,0,3,0,0,1,1,1,0,5
2020-03-07,US_MN,0,0,0,0,0,3,0,0,2,1,1,0,7.6923076923076925
2020-03-07,US_NE,0,0,0,0,0,3,0,0,1,1,1,0,14.285714285714286
2020-03-07,US_NV,0,0,0,0,0,3,0,0,2,0,1,0,4
2020-03-07,US_NY,0,0,0,0,0,3,0,0,2,1,1,0,16.666666666666668
2020-03-07,US_PA,0,0,0,0,0,3,0,0,2,1,1,0,12.5
2020-03-07,US_SC,0,0,0,0,0,3,0,0,2,1,1,0,40
2020-03-07,US_WA,1,0,0,1,0,3,0,0,1,1,1,0,12
2020-03-08,US_CT,0,0,0,0,0,3,0,0,2,1,1,0,4.3478260869565215
2020-03-08,US_FL,0,0,0,0,0,3,0,0,2,1,1,0,3.7037037037037037
2020-03-08,US_IN,0,0,0,0,0,3,0,0,1,1,1,0,16.666666666666668
2020-03-08,US_MO,0,0,0,0,0,3,0,0,1,1,1,0,12.5
2020-03-08,US_NH,0,0,0,0,0,3,0,0,1,0,2,0,6.666666666666667
2020-03-08,US_NJ,0,0,0,0,0,3,0,0,1,0,1,0,6.0606060606060606
2020-03-08,US_NY,0,0,0,0,0,3,0,0,2,1,1,0,12
2020-03-08,US_PA,0,0,0,0,0,3,0,0,2,1,1,0,16.666666666666668
2020-03-08,US_VA,0,0,0,0,0,3,0,0,1,0,1,0,40
2020-03-08,US_VT,0,0,0,0,0,3,0,0,1,1,1,0,11.11111111111111
2020-03-08,US_WA,1,0,0,1,0,3,0,0,1,1,1,0,7.037037037037037
2020-03-09,US_CA,0,0,0,0,0,3,2,1,1,1,1,0,10.236220472440944
2020-03-09,US_DC,0,0,0,0,0,3,0,0,2,1,1,0,50
2020-03-09,US_FL,0,0,0,0,0,3,0,0,2,1,1,0,13.88888888888889
2020-03-09,US_GA,0,0,0,0,0,3,0,0,0,0,1,0,83.33333333333333
2020-03-09,US_HI,0,0,0,0,0,3,0,0,2,0,1,0,50
2020-03-09,US_IA,0,0,0,0,0,3,0,0,1,0,1,0,21.428571428571427
2020-03-09,US_KY,0,0,0,0,0,3,0,1,2,1,1,0,42.857142857142854
2020-03-09,US_MA,0,0,0,1,0,3,0,0,1,1,1,0,34.5679012345679
2020-03-09,US_MN,0,0,0,0,0,3,0,0,2,1,1,0,8.571428571428571
2020-03-09,US_NE,0,0,0,0,0,3,0,0,1,1,1,0,22.22222222222222
2020-03-09,US_NJ,0,0,0,0,0,3,0,0,1,0,1,0,69.23076923076923
2020-03-09,US_NV,0,0,0,0,0,3,0,0,2,0,1,0,4.3478260869565215
2020-03-09,US_NY,1,0,1,1,0,3,0,0,2,1,1,0,9.120521172638437
2020-03-09,US_PA,0,0,0,0,0,3,0,0,2,1,1,0,23.529411764705884
2020-03-09,US_RI,0,0,0,0,0,3,2,0,2,1,1,0,5.555555555555555
2020-03-09,US_SC,0,0,0,0,0,3,0,0,2,1,1,0,23.80952380952381
2020-03-09,US_TX,0,0,0,0,0,3,0,0,0,1,1,0,14
2020-03-09,US_WA,1,0,0,1,0,3,0,0,1,1,1,0,3.6503362151777137
2020-03-10,US_AZ,0,0,0,0,0,3,0,0,2,1,1,0,1.3333333333333333
2020-03-10,US_CT,0,0,0,0,0,3,0,0,2,1,1,0,2.1739130434782608
2020-03-10,US_FL,0,0,0,0,0,3,0,0,2,1,1,0,3.5714285714285716
2020-03-10,US_GA,0,0,0,0,0,3,0,0,0,0,1,0,21.73913043478261
2020-03-10,US_IA,0,0,0,0,0,3,0,0,1,0,1,0,45.45454545454545
2020-03-10,US_IL,0,0,0,0,0,3,1,0,1,1,1,0,3.6809815950920246
2020-03-10,US_IN,0,0,0,0,0,3,0,0,1,1,1,0,12.121212121212121
2020-03-10,US_KY,0,0,0,0,0,3,0,1,2,1,1,0,15.384615384615385
2020-03-10,US_MA,0,0,0,1,0,3,0,0,1,1,1,0,46.788990825688074
2020-03-10,US_MN,0,0,0,0,0,3,0,0,2,1,1,0,10.344827586206897
2020-03-10,US_NJ,0,0,0,0,0,3,0,0,1,0,1,0,10
2020-03-10,US_NY,1,0,1,1,0,3,0,0,2,1,1,0,15.71072319201995
2020-03-10,US_OK,0,0,0,0,0,3,0,0,2,1,1,0,12.5
2020-03-10,US_PA,0,0,0,0,0,3,0,0,2,1,1,0,12.5
2020-03-10,US_RI,0,0,0,0,0,3,2,0,2,1,1,0,6.25
2020-03-10,US_TX,0,0,0,0,0,3,0,0,0,1,1,0,2.2222222222222223
2020-03-10,US_UT,0,0,0,0,0,3,0,0,2,1,1,0,8.333333333333334
2020-03-10,US_VA,0,0,0,0,0,3,0,0,1,0,1,0,50
2020-03-10,US_WA,1,0,0,1,0,3,1,0,1,1,1,0,3.364589078874793
2020-03-10,US_WI,0,0,0,0,0,3,0,0,1,1,1,0,11.11111111111111
2020-03-11,US_AZ,0,0,0,0,0,3,0,0,2,1,1,0,4.761904761904762
2020-03-11,US_CA,0,2,0,1,0,3,2,1,1,1,1,0,9.6
2020-03-11,US_CO,0,0,0,0,0,3,2,0,1,1,1,0,24.285714285714285
2020-03-11,US_CT,0,0,0,0,0,3,0,0,2,1,1,0,3.7037037037037037
2020-03-11,US_DE,0,0,0,1,0,3,0,0,2,1,1,0,66.66666666666667
2020-03-11,US_FL,0,0,0,0,0,3,0,0,2,1,1,0,8.450704225352112
2020-03-11,US_GA,0,0,0,0,0,3,0,0,0,0,1,0,33.333333333333336
2020-03-11,US_IA,0,0,0,0,0,3,0,0,1,0,1,0,26.31578947368421
2020-03-11,US_IN,0,0,0,0,0,3,0,0,1,1,1,0,6.896551724137931
2020-03-11,US_KY,1,0,0,0,1,3,0,1,2,1,1,0,10
2020-03-11,US_LA,0,0,0,0,0,3,0,0,1,1,1,0,16.129032258064516
2020-03-11,US_MN,0,0,0,0,0,3,0,0,2,1,1,0,10.526315789473685
2020-03-11,US_NE,0,0,0,0,0,3,0,0,1,1,1,0,5.882352941176471
2020-03-11,US_NJ,0,0,0,0,0,3,0,0,1,0,1,0,35
2020-03-11,US_NV,0,0,0,0,0,3,0,0,2,0,1,0,3.7383177570093458
2020-03-11,US_NY,1,0,1,1,0,3,0,0,2,1,1,0,10.352941176470589
2020-03-11,US_OH,0,0,1,0,0,3,0,0,2,1,1,0,2.3255813953488373
2020-03-11,US_PA,0,0,0,0,0,3,0,0,2,1,1,0,12.121212121212121
2020-03-11,US_SC,0,0,0,0,0,3,0,0,2,1,1,0,20
2020-03-11,US_TX,0,0,0,0,0,3,0,0,0,1,1,0,0.9836065573770492
2020-03-11,US_VA,0,0,0,0,0,3,0,0,1,0,1,0,9.090909090909092
2020-03-11,US_WA,1,2,0,1,0,3,1,0,1,1,1,0,2.6735661923242775
2020-03-11,US_WI,0,0,0,0,0,3,0,0,1,1,1,0,5.2631578947368425
2020-03-12,US_AR,1,0,0,0,0,3,0,0,1,1,1,0,33.333333333333336
2020-03-12,US_CO,1,3,0,0,0,3,2,0,1,1,1,0,21.09375
2020-03-12,US_CT,1,2,0,0,0,3,0,0,2,1,1,0,4.918032786885246
2020-03-12,US_FL,1,0,0,0,0,3,0,0,2,1,1,0,13.20754716981132
2020-03-12,US_IA,1,0,0,0,0,3,0,0,1,0,1,0,4.545454545454546
2020-03-12,US_IL,1,0,0,0,0,3,1,0,1,1,1,0,11.764705882352942
2020-03-12,US_IN,1,2,0,0,0,3,0,0,1,1,1,0,2.9411764705882355
