date,key,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,income_support,debt_relief,fiscal_measures,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,pos_rate
2020-06-01,US_AK,3,1,1,2,0,1,2,2,2,NA,2,2,NA,NA,1,NA,0.008616975441619991
2020-06-01,US_AL,3,2,2,0,1,2,1,2,1,0,2,2,0,0,3,NA,0.23858921161825727
2020-06-01,US_AR,3,2,1,3,1,1,2,2,1,0,3,1,0,0,1,NA,0.05106154259607632
2020-06-01,US_AZ,3,1,2,0,0,1,1,2,1,NA,2,2,NA,NA,1,NA,0.053720195346164894
2020-06-01,US_CA,3,2,2,4,0,1,1,2,2,0,2,2,NA,NA,3,NA,0.03401491105041707
2020-06-01,US_CO,2,2,2,4,1,1,1,2,2,NA,2,1,NA,NA,2,NA,0.039050235478806906
2020-06-01,US_CT,3,2,2,4,1,1,1,2,2,NA,3,2,NA,NA,3,NA,0.21775813579750905
2020-06-01,US_DC,3,2,2,3,2,1,1,2,2,NA,2,1,NA,NA,1,NA,0.03717948717948718
2020-06-01,US_DE,3,2,2,4,1,2,1,2,2,NA,2,2,NA,NA,3,NA,0.2222222222222222
2020-06-01,US_FL,3,2,2,4,1,2,2,2,2,0,1,1,0,0,3,NA,0.025679134670960283
2020-06-01,US_HI,3,2,1,4,0,2,2,2,1,0,2,2,0,0,2,NA,0.001379310344827586
2020-06-01,US_IA,3,2,1,0,1,1,1,2,2,0,2,2,0,0,1,NA,0.05206463195691203
2020-06-01,US_IL,3,1,2,4,0,2,2,2,2,NA,2,1,NA,NA,2,NA,0.04866593384630759
2020-06-01,US_IN,3,2,2,3,0,1,1,2,2,NA,2,2,NA,NA,1,NA,0.11770114942528735
2020-06-01,US_KS,3,2,2,3,1,1,1,2,1,NA,2,1,NA,NA,1,NA,1
2020-06-01,US_KY,3,2,2,4,2,1,1,2,2,0,3,2,0,0,1,NA,0.15086016762240848
2020-06-01,US_LA,3,2,2,2,1,1,1,2,2,NA,2,1,NA,NA,3,NA,0.03466275181469701
2020-06-01,US_MA,3,2,2,3,1,1,1,2,1,0,2,2,0,0,3,NA,0.29785913744958115
2020-06-01,US_MD,3,3,2,4,2,1,1,2,2,NA,3,1,NA,NA,2,NA,0.06258549931600547
2020-06-01,US_ME,3,2,2,3,2,1,2,2,2,0,2,2,0,0,2,NA,0.019591836734693877
2020-06-01,US_MI,3,2,2,1,1,1,1,2,1,0,3,1,0,0,1,NA,0.016741834085007515
2020-06-01,US_MN,3,2,2,4,0,1,1,2,1,NA,2,1,NA,NA,2,NA,0.13752690743841187
2020-06-01,US_MS,3,1,1,3,1,1,1,2,1,NA,1,1,NA,NA,1,NA,0.0568258999320806
