date,key,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,sev_day,dir
2020-03-04,US_WA,5,9,56,-2,-2,26.857142857142858,1
2020-03-05,US_WA,2,7,21,-8,-6,31.142857142857142,1
2020-03-06,US_WA,-2,2,13,-12,-8,34.142857142857146,1
2020-03-07,US_WA,-3,1,18,-6,-1,40.57142857142857,1
2020-03-08,US_FL,4,3,-1,1,0,3,1
2020-03-08,US_NY,10,7,61,0,2,27.714285714285715,1
2020-03-08,US_WA,7,2,34,-5,-2,44.57142857142857,1
2020-03-09,US_CA,3,6,12,-7,1,21.285714285714285,1
2020-03-09,US_FL,5,5,6,-1,0,3.857142857142857,1
2020-03-09,US_NY,7,8,62,-4,1,35.42857142857143,1
2020-03-09,US_WA,2,3,49,-15,-8,56.857142857142854,1
2020-03-10,US_CA,-1,4,-10,-13,-3,27.428571428571427,1
2020-03-10,US_FL,5,6,11,1,0,7.142857142857143,1
2020-03-10,US_MA,5,7,33,-7,0,19.428571428571427,1
2020-03-10,US_NJ,5,10,34,-7,-2,7.857142857142857,1
2020-03-10,US_NY,1,7,14,-7,-1,46.857142857142854,1
2020-03-10,US_PA,6,5,17,-2,0,5.571428571428571,1
2020-03-10,US_WA,1,5,37,-15,-11,70.42857142857143,1
2020-03-11,US_CA,3,9,12,-10,-3,32,1
2020-03-11,US_FL,6,7,20,-1,0,13,1
2020-03-11,US_NJ,6,12,48,-8,-3,10.571428571428571,1
2020-03-11,US_NY,3,11,20,-8,-1,68.71428571428571,1
2020-03-11,US_PA,7,10,29,0,-1,6.142857142857143,1
2020-03-11,US_WA,1,9,46,-16,-11,88.71428571428571,1
2020-03-12,US_CA,-3,13,-15,-18,-6,35.285714285714285,1
2020-03-12,US_FL,5,17,17,-2,-1,17.571428571428573,1
2020-03-12,US_GA,8,24,23,-2,-1,13.142857142857142,1
2020-03-12,US_IN,7,23,32,5,-1,3.2857142857142856,1
2020-03-12,US_MA,5,32,14,-17,-5,22.285714285714285,1
2020-03-12,US_MN,3,14,-10,-8,-4,18,1
2020-03-12,US_NJ,5,25,19,-14,-5,13.142857142857142,1
