date,key,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,sev_day,dir
2020-06-01,US_AK,9,17,103,-15,-25,7,13.857142857142858,1
2020-06-01,US_AL,-1,8,46,-1,-28,8,394.57142857142856,0
2020-06-01,US_AR,2,10,71,-2,-28,7,403.42857142857144,1
2020-06-01,US_AZ,-17,-6,-18,-30,-36,11,712.8571428571429,1
2020-06-01,US_CA,-41,-12,-16,-45,-42,17,2716.4285714285716,1
2020-06-01,US_CO,-14,1,71,-33,-36,11,319.85714285714283,0
2020-06-01,US_CT,-14,-5,60,-33,-39,14,240,0
2020-06-01,US_DE,-11,-3,53,-30,-37,12,78.28571428571429,0
2020-06-01,US_FL,-21,-9,-24,-42,-33,11,930.4285714285714,0
2020-06-01,US_HI,-38,-20,-42,-58,-34,14,2.857142857142857,1
2020-06-01,US_IA,-8,19,143,-2,-30,10,318.85714285714283,1
2020-06-01,US_IL,-27,-7,24,-45,-44,15,1275.142857142857,0
2020-06-01,US_IN,-1,5,100,-3,-30,9,432.57142857142856,0
2020-06-01,US_KS,-5,3,117,1,-29,8,241.71428571428572,0
2020-06-01,US_KY,-3,10,78,-12,-31,9,264.85714285714283,1
2020-06-01,US_LA,-8,2,5,-21,-26,8,437.85714285714283,0
2020-06-01,US_MA,-26,-12,44,-58,-47,17,1024,0
2020-06-01,US_MD,-20,-8,78,-40,-45,17,878.4285714285714,0
2020-06-01,US_ME,-7,6,89,-17,-30,9,36.714285714285715,0
2020-06-01,US_MI,-16,-3,116,-27,-39,12,259.85714285714283,0
2020-06-01,US_MN,-13,6,119,-50,-40,13,390.14285714285717,0
2020-06-01,US_MS,8,9,40,0,-24,6,296.7142857142857,0
2020-06-01,US_MT,8,18,121,1,-21,3,7.714285714285714,1
2020-06-01,US_NC,-8,5,79,-24,-31,9,936.2857142857143,1
2020-06-01,US_ND,3,8,146,-6,-24,6,32.142857142857146,0
2020-06-01,US_NE,-9,3,99,0,-31,11,270,0
2020-06-01,US_NH,-6,0,100,-17,-36,12,70,0
2020-06-01,US_NJ,-37,-8,84,-52,-46,18,688.8571428571429,0
2020-06-01,US_NM,-10,5,16,-15,-34,11,141.28571428571428,1
2020-06-01,US_NV,-21,-3,-24,-41,-37,13,126,1
2020-06-01,US_NY,-40,-8,22,-56,-46,18,1200,0
2020-06-01,US_OH,-3,4,125,-7,-33,9,481,1
2020-06-01,US_OK,3,12,62,2,-28,7,91,1
2020-06-01,US_OR,-11,4,84,-24,-36,10,51.57142857142857,0
2020-06-01,US_PA,-21,-6,59,-43,-39,13,645.4285714285714,0
2020-06-01,US_RI,-6,-1,133,-43,-37,12,112.28571428571429,0
2020-06-01,US_SC,0,7,54,-1,-26,7,316.7142857142857,1
2020-06-01,US_SD,5,22,223,16,-24,7,64.85714285714286,1
2020-06-01,US_TN,1,6,75,-16,-29,8,491.57142857142856,0
2020-06-01,US_TX,-12,-3,1,-30,-35,12,1449.142857142857,0
2020-06-01,US_UT,-6,11,113,-30,-37,10,270.2857142857143,1
2020-06-01,US_VA,-17,-1,58,-38,-39,14,922.1428571428571,0
2020-06-01,US_VT,-13,-4,59,-32,-38,12,7.285714285714286,1
2020-06-01,US_WA,-22,-2,69,-41,-42,13,296.14285714285717,1
2020-06-01,US_WI,-9,6,116,-12,-31,11,445.14285714285717,0
2020-06-01,US_WV,5,10,54,4,-27,7,26.571428571428573,0
2020-06-01,US_WY,11,22,143,22,-21,4,6.428571428571429,0
2020-06-02,US_AK,7,15,103,-18,-25,8,15.142857142857142,1
2020-06-02,US_AL,-4,7,36,-3,-27,9,366.2857142857143,0
2020-06-02,US_AZ,-18,-4,-18,-28,-37,12,838.1428571428571,1
2020-06-02,US_CA,-39,-6,-8,-44,-42,17,2734,1
2020-06-02,US_CO,-15,2,62,-35,-39,13,286,0
2020-06-02,US_CT,-17,-4,52,-32,-40,15,242.57142857142858,1
2020-06-02,US_DE,-12,-1,57,-31,-37,13,66.71428571428571,0
2020-06-02,US_FL,-22,-8,-25,-41,-33,12,1000.1428571428571,1
2020-06-02,US_GA,-10,2,40,-38,-35,12,702.7142857142857,1
2020-06-02,US_IA,-9,19,163,0,-31,10,318,0
2020-06-02,US_ID,5,16,219,10,-28,6,46.142857142857146,1
2020-06-02,US_IL,-24,-3,45,-43,-42,15,1208.5714285714287,0
2020-06-02,US_IN,1,11,156,0,-31,9,431.42857142857144,0
2020-06-02,US_KY,-5,12,95,-10,-32,9,231.42857142857142,0
2020-06-02,US_LA,-7,7,9,-19,-28,9,455.2857142857143,1
2020-06-02,US_MA,-28,-11,52,-56,-47,18,1006.4285714285714,0
2020-06-02,US_MD,-19,-4,95,-38,-46,17,826,0
2020-06-02,US_ME,-10,3,122,-14,-31,10,36.57142857142857,0
2020-06-02,US_MI,-17,1,168,-23,-39,13,243.57142857142858,0
2020-06-02,US_MN,-19,3,84,-52,-40,15,382.14285714285717,0
2020-06-02,US_MS,5,8,43,3,-25,7,278.2857142857143,0
2020-06-02,US_MT,7,19,149,3,-23,4,6.857142857142857,0
2020-06-02,US_NC,-9,5,79,-22,-32,10,966.7142857142857,1
2020-06-02,US_ND,0,8,119,-6,-25,7,32.142857142857146,1
2020-06-02,US_NE,-8,7,114,0,-32,11,265.14285714285717,0
2020-06-02,US_NH,-8,1,101,-13,-36,14,64.28571428571429,0
2020-06-02,US_NJ,-38,-5,68,-53,-47,19,656.2857142857143,0
2020-06-02,US_NM,-7,10,32,-11,-34,12,168.42857142857142,1
2020-06-02,US_NV,-19,0,-20,-39,-38,13,130.85714285714286,1
2020-06-02,US_NY,-43,-8,14,-57,-47,19,1132,0
2020-06-02,US_OH,-4,7,154,-6,-33,9,456,0
2020-06-02,US_OK,2,12,91,2,-28,7,95,1
2020-06-02,US_OR,-13,5,87,-25,-38,11,55.42857142857143,1
2020-06-02,US_PA,-18,-1,72,-40,-40,13,523.7142857142857,0
2020-06-02,US_RI,-11,-2,126,-42,-38,13,101.85714285714286,0
2020-06-02,US_SC,1,9,57,1,-27,8,331.7142857142857,1
2020-06-02,US_SD,5,23,214,14,-26,7,58.714285714285715,0
2020-06-02,US_TN,-1,7,91,-15,-29,8,490.7142857142857,0
2020-06-02,US_TX,-11,-2,14,-28,-36,13,1515.2857142857142,1
2020-06-02,US_UT,-8,12,149,-30,-37,11,284,1
2020-06-02,US_VA,-18,0,76,-35,-40,14,857,0
2020-06-02,US_VT,-17,-6,78,-24,-39,13,7.428571428571429,1
2020-06-02,US_WA,-24,-1,63,-42,-43,15,300.57142857142856,1
2020-06-02,US_WI,-10,6,180,-11,-33,11,393.7142857142857,0
2020-06-02,US_WV,6,12,59,1,-27,6,24,0
2020-06-02,US_WY,7,21,135,17,-22,5,6,0
2020-06-03,US_AK,11,16,106,-12,-25,7,12.285714285714286,0
2020-06-03,US_AL,1,9,44,-1,-28,8,383.42857142857144,1
2020-06-03,US_AR,4,13,101,-2,-27,7,412.57142857142856,1
2020-06-03,US_AZ,-18,-2,-20,-28,-37,12,885.1428571428571,1
2020-06-03,US_CA,-36,-3,-5,-43,-42,16,2604.1428571428573,0
2020-06-03,US_CO,-13,2,74,-35,-40,12,250,0
2020-06-03,US_CT,-15,-1,57,-31,-40,15,256.57142857142856,1
2020-06-03,US_DE,-13,-2,65,-29,-38,13,68.42857142857143,1
2020-06-03,US_FL,-22,-11,-30,-43,-34,13,1075.7142857142858,1
2020-06-03,US_GA,-8,2,48,-37,-36,11,715.2857142857143,1
2020-06-03,US_HI,-37,-16,-34,-61,-35,15,3.7142857142857144,1
2020-06-03,US_IA,-6,23,153,5,-30,9,319.14285714285717,1
2020-06-03,US_ID,6,17,180,13,-28,6,48.857142857142854,1
2020-06-03,US_IL,-21,-1,35,-40,-41,15,1139,0
2020-06-03,US_IN,0,10,112,-2,-30,9,398,0
2020-06-03,US_KS,-2,12,130,5,-31,8,227.71428571428572,0
2020-06-03,US_KY,-3,16,98,-10,-32,9,260.42857142857144,1
2020-06-03,US_LA,-6,7,6,-17,-29,9,415.57142857142856,0
2020-06-03,US_MA,-27,-8,58,-56,-47,18,975.8571428571429,0
2020-06-03,US_MD,-20,-4,82,-40,-46,18,781,0
2020-06-03,US_ME,-9,7,88,-19,-32,10,34.57142857142857,0
2020-06-03,US_MI,-13,6,147,-22,-39,12,227.57142857142858,0
2020-06-03,US_MN,-10,12,165,-43,-39,13,381.7142857142857,0
2020-06-03,US_MS,9,14,32,2,-26,7,220,0
2020-06-03,US_MT,6,21,134,3,-23,4,5.857142857142857,0
2020-06-03,US_NC,-8,6,57,-23,-33,10,993.1428571428571,1
2020-06-03,US_ND,2,8,NA,-2,-25,6,37.42857142857143,1
2020-06-03,US_NE,-4,12,113,1,-31,10,246.42857142857142,0
2020-06-03,US_NH,-5,4,78,-18,-36,14,60.142857142857146,0
2020-06-03,US_NJ,-39,-7,57,-53,-47,20,627.4285714285714,0
2020-06-03,US_NM,-9,9,31,-13,-34,12,168,0
2020-06-03,US_NV,-18,2,-19,-37,-38,13,137.85714285714286,1
2020-06-03,US_NY,-43,-7,10,-58,-47,19,1093.7142857142858,0
2020-06-03,US_OH,-3,9,130,-9,-33,10,439.57142857142856,0
2020-06-03,US_OK,8,18,95,7,-27,6,104.57142857142857,1
2020-06-03,US_OR,-12,7,98,-24,-38,11,62.714285714285715,1
2020-06-03,US_PA,-23,-4,38,-43,-40,14,525,1
2020-06-03,US_RI,-10,0,111,-46,-39,13,96.71428571428571,0
2020-06-03,US_SC,2,8,49,3,-28,8,360.2857142857143,1
2020-06-03,US_SD,3,23,225,14,-26,7,58.142857142857146,0
2020-06-03,US_TN,1,11,84,-16,-30,8,500.7142857142857,1
2020-06-03,US_TX,-9,3,15,-28,-35,12,1602.142857142857,1
2020-06-03,US_UT,-6,14,140,-28,-37,11,323.57142857142856,1
2020-06-03,US_VA,-17,3,63,-34,-41,14,826.5714285714286,0
2020-06-03,US_VT,-17,-5,44,-28,-38,14,9.571428571428571,1
2020-06-03,US_WA,-22,2,93,-40,-43,14,304.14285714285717,1
2020-06-03,US_WI,-5,10,185,-7,-32,10,365,0
2020-06-03,US_WV,4,9,55,3,-29,7,22.428571428571427,0
2020-06-03,US_WY,5,17,132,18,-24,6,5.857142857142857,0
2020-06-04,US_AK,6,15,138,-14,-26,7,13.857142857142858,1
2020-06-04,US_AL,-6,8,35,-4,-27,9,371,0
2020-06-04,US_AZ,-18,-5,-16,-30,-37,12,993.2857142857143,1
2020-06-04,US_CA,-35,-3,-6,-43,-42,16,2616.1428571428573,1
2020-06-04,US_CO,-15,3,85,-34,-40,12,231.85714285714286,0
2020-06-04,US_CT,-14,-1,96,-30,-39,14,252.42857142857142,0
2020-06-04,US_DE,-10,2,72,-27,-38,13,56.857142857142854,0
2020-06-04,US_FL,-24,-12,-38,-43,-34,14,1121.142857142857,1
2020-06-04,US_GA,-11,1,23,-38,-36,12,711.4285714285714,0
2020-06-04,US_IA,-8,15,175,-1,-31,10,302.14285714285717,0
2020-06-04,US_ID,4,16,203,8,-29,6,48,0
2020-06-04,US_IL,-20,2,53,-39,-40,14,1071,0
2020-06-04,US_IN,-3,9,110,-3,-30,10,403.2857142857143,1
2020-06-04,US_KY,-9,8,48,-13,-33,10,253.14285714285714,0
2020-06-04,US_LA,-8,9,11,-18,-28,9,414.2857142857143,0
2020-06-04,US_MA,-27,-4,94,-56,-46,17,924.4285714285714,0
2020-06-04,US_MD,-22,-4,63,-42,-46,18,742.1428571428571,0
2020-06-04,US_ME,-7,10,174,-12,-30,8,35,1
2020-06-04,US_MI,-15,4,180,-24,-39,12,200.14285714285714,0
2020-06-04,US_MN,-15,10,145,-43,-39,13,380.85714285714283,0
2020-06-04,US_MS,1,10,38,3,-25,7,252.71428571428572,1
2020-06-04,US_MT,6,21,141,4,-23,4,4.857142857142857,0
2020-06-04,US_NC,-10,5,52,-24,-33,11,993.8571428571429,1
2020-06-04,US_ND,1,7,161,-5,-25,7,40.42857142857143,1
2020-06-04,US_NE,-8,10,126,2,-31,11,234,0
2020-06-04,US_NH,-5,7,173,-15,-35,12,50.142857142857146,0
2020-06-04,US_NJ,-36,-1,99,-51,-47,19,546.5714285714286,0
2020-06-04,US_NM,-10,9,39,-13,-36,12,178.71428571428572,1
2020-06-04,US_NV,-18,-2,-16,-35,-38,12,150.85714285714286,1
2020-06-04,US_NY,-40,-3,46,-55,-46,18,1046.7142857142858,0
2020-06-04,US_OH,-7,6,100,-11,-33,11,423.2857142857143,0
2020-06-04,US_OK,3,13,80,3,-29,7,99.85714285714286,0
2020-06-04,US_OR,-15,6,81,-26,-38,11,68.14285714285714,1
2020-06-04,US_PA,-22,-1,53,-40,-40,14,523.7142857142857,0
2020-06-04,US_RI,-7,0,235,-40,-39,13,92.85714285714286,0
