Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,date,People_Tested,Mortality_Rate
Alabama,US,2021-01-02T05:30:44Z,32.3182,-86.9023,365747,4872,202137,158738,1,7459.375895463867,1885216,NA,1.3320683423240656,84000001,USA,38448.80419564018,NA,2021-01-01,NA,NA
Alaska,US,2021-01-02T05:30:44Z,61.3707,-152.4044,47019,206,7165,39615,2,6422.844801071706,1275750,NA,0.4384284680543141,84000002,USA,174391.1857780451,NA,2021-01-01,NA,NA
American Samoa,US,2021-01-02T05:30:44Z,-14.271,-170.132,0,0,NA,0,60,0,2140,NA,NA,16,ASM,3846.084721698028,NA,2021-01-01,NA,NA
Arizona,US,2021-01-02T05:30:44Z,33.7298,-111.4312,530267,9015,76934,444318,4,7285.171274003372,5155330,NA,1.7000869373353424,84000004,USA,39551.860582022906,NA,2021-01-01,NA,NA
Arkansas,US,2021-01-02T05:30:44Z,34.9697,-92.3731,229442,3711,199247,26484,5,7602.945718144717,2051488,NA,1.6174022192972517,84000005,USA,67979.49767446793,NA,2021-01-01,NA,NA
California,US,2021-01-02T05:30:44Z,36.1162,-119.6816,2365024,26504,NA,2309915,6,5912.603297465698,33058311,NA,1.1251600354592777,84000006,USA,83666.03670970372,NA,2021-01-01,NA,NA
Colorado,US,2021-01-02T05:30:44Z,39.0598,-105.3111,337161,4873,18102,314186,8,5854.774381044729,4444206,NA,1.4453035790023163,84000008,USA,77173.28941628858,NA,2021-01-01,NA,NA
Connecticut,US,2021-01-02T05:30:44Z,41.5978,-72.7554,185708,5995,9800,169913,9,5208.781228551867,4320693,NA,3.2281861847631768,84000009,USA,121187.80339422885,NA,2021-01-01,NA,NA
Delaware,US,2021-01-02T05:30:44Z,39.3185,-75.5071,58064,1065,18851,38283,10,5962.841099075341,984606,NA,1.6016809038302562,84000010,USA,101113.41146314713,NA,2021-01-01,NA,NA
Diamond Princess,US,2021-01-02T05:30:44Z,NA,NA,49,0,NA,49,88888,NA,NA,NA,0,84088888,USA,NA,NA,2021-01-01,NA,NA
District of Columbia,US,2021-01-02T05:30:44Z,38.8974,-77.0268,29252,788,20941,7523,11,4144.816358223675,904302,NA,2.6938329003145083,84000011,USA,128133.65658328953,NA,2021-01-01,NA,NA
Florida,US,2021-01-02T05:30:44Z,27.7663,-81.6868,1323315,21673,NA,1301642,12,6161.333477544677,15703599,NA,1.6377808760574768,84000012,USA,73115.70581202293,NA,2021-01-01,NA,NA
Georgia,US,2021-01-02T05:30:44Z,33.0406,-83.6431,677589,10958,NA,666631,13,6381.859326881861,5401054,NA,1.6172045295894708,84000013,USA,50869.726109621886,NA,2021-01-01,NA,NA
Grand Princess,US,2021-01-02T05:30:44Z,NA,NA,103,3,NA,100,99999,NA,NA,NA,2.9126213592233015,84099999,USA,NA,NA,2021-01-01,NA,NA
Guam,US,2021-01-02T05:30:44Z,13.4443,144.7937,7326,122,7047,157,66,4460.844308861407,96201,NA,1.6653016653016652,316,GUM,58577.35235555231,NA,2021-01-01,NA,NA
Hawaii,US,2021-01-02T05:30:44Z,21.0943,-157.4983,22397,289,11958,9775,15,1555.366586810107,816811,NA,1.3123240395967668,84000015,USA,57689.60753514442,NA,2021-01-01,NA,NA
Idaho,US,2021-01-02T05:30:44Z,44.2405,-114.4788,141077,1436,58649,80992,16,7894.34072067888,545485,NA,1.0178838506631132,84000016,USA,30524.071592247623,NA,2021-01-01,NA,NA
Illinois,US,2021-01-02T05:30:44Z,40.3495,-88.9861,963389,17978,NA,945411,17,7602.6089699341555,13374665,NA,1.866120539055356,84000017,USA,105546.51142878359,NA,2021-01-01,NA,NA
Indiana,US,2021-01-02T05:30:44Z,39.8494,-86.2583,517773,9468,345474,163928,18,7690.970837401457,5730043,NA,1.6167316565367449,84000018,USA,85113.7344165423,NA,2021-01-01,NA,NA
Iowa,US,2021-01-02T05:30:44Z,42.0115,-93.2105,282980,3898,241229,37853,19,8969.056154063142,1174406,NA,1.3774825075977102,84000019,USA,37222.81914505859,NA,2021-01-01,NA,NA
Kansas,US,2021-01-02T05:30:44Z,38.5266,-96.7265,230108,2872,4612,222819,20,7905.189759840511,1012506,NA,1.2470527956648416,84000020,USA,34754.441162195355,NA,2021-01-01,NA,NA
Kentucky,US,2021-01-02T05:30:44Z,37.6681,-84.6701,265261,2623,36740,225898,21,5937.341430315066,3148606,NA,0.9888374091932096,84000021,USA,70475.30112432133,NA,2021-01-01,NA,NA
Louisiana,US,2021-01-02T05:30:44Z,31.1695,-91.8678,315275,7488,263712,44075,22,6781.866436757577,4214182,NA,2.375069383871224,84000022,USA,90651.08068888405,NA,2021-01-01,NA,NA
Maine,US,2021-01-02T05:30:44Z,44.6939,-69.3819,24902,352,11374,13176,23,1852.535165584,1111413,NA,1.4135410810376676,84000023,USA,82681.37763983657,NA,2021-01-01,NA,NA
Maryland,US,2021-01-02T05:30:44Z,39.0639,-76.8021,280219,5942,9358,264919,24,4635.028648555663,5761534,NA,2.1204843354661893,84000024,USA,95300.01587910707,NA,2021-01-01,NA,NA
Massachusetts,US,2021-01-02T05:30:44Z,42.2302,-71.5301,375178,12423,261672,101083,25,5443.276557152025,10944699,NA,3.3112282703143574,84000025,USA,158791.3563476142,NA,2021-01-01,NA,NA
